date,text,publisher,oil_price,oil_open,oil_high,oil_low,oil_volume,oil_change_percent
2026-03-25,Pass the SAVE America Act and SAVE AMERICA'S ELECTIONS.,WhiteHouse,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"Press Secretary Karoline Leavitt Briefs Members of the Media, Mar. 25, 2026",WhiteHouse,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"Today, we honor those awarded our nation’s highest military distinction, the Medal of Honor.

Their extraordinary bravery and sacrifice will forever stand as a testament to the strength of the American spirit.",WhiteHouse,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: Investigators concluded the Crocus attack was planned in the interests of the Kiev regime, which normalizes such methods

Case in point: bars in Ukraine are glorifying terrorists, mocking the memory of the victims [in their quintessential Neo-Nazi Ukrainian style]",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: Nearly all perpetrators of the Khatyn massacre, including members of the 118th Ukrainian Police Battalion, were brought to justice.

Only those who fled to the Western occupation zone and later lived in the US and Canada escaped accountability.",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: On March 22, 2024, one of the bloodiest terrorist attacks  in recent history — the Crocus tragedy — was perpetrated.

We mourn with the victims’ families. 

Four perpetrators of the attack and their 11 accomplices were sentenced to life imprisonment.",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: On March 23, an agreement was signed to build a nuclear power plant in #Vietnam with the participation of 
@rosatom
.

#Rosatom is building 41 power units across 11 countries.

 This project will strengthen Vietnam’s energy security.",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: The US & the Republic of Korea have held another round of joint military drills – Freedom Shield.

These manoeuvres are nothing less than open preparations for war.

 Such military activity does absolutely nothing to reduce tensions on the Korean Peninsula.",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: This year, Russia’s most famous theatre – 
@BolshoiOfficial
 – marks its 250th anniversary.

Carefully preserving tradition while embracing new directions, the #Bolshoi showcases Russian art on the world’s leading stages & remains a pillar of global musical culture.",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
2026-03-25,"#Zakharova: We support the priorities for #BRICS work in 2026 as set out by our Indian friends.

 We count on continued progress on Russian initiatives, including the creation of cross-border payment, settlement & depository infrastructure.",mfa_russia,90.32,88.49,91.73,86.46,405.17K,-2.20%
